time;TIR-249;TIR-250;TT-905
2/12/2023 5:00;34,6;34,9;39,6
2/12/2023 5:01;34,7;35,1;39,6
2/12/2023 5:03;34,9;35,0;39,5
2/12/2023 5:04;35,0;35,0;39,6
2/12/2023 5:06;35,0;35,0;39,5
2/12/2023 5:07;35,2;34,7;39,1
2/12/2023 5:09;35,2;33,9;38,5
2/12/2023 5:10;35,3;33,2;37,9
2/12/2023 5:12;35,3;33,0;37,6
2/12/2023 5:13;35,1;32,8;37,4
2/12/2023 5:15;35,1;32,8;37,3
2/12/2023 5:16;35,1;32,8;37,3
2/12/2023 5:18;34,9;32,6;37,2
2/12/2023 5:19;34,9;32,6;37,3
2/12/2023 5:21;34,7;32,8;37,5
2/12/2023 5:22;34,6;33,2;37,8
2/12/2023 5:24;34,6;33,4;38,0
2/12/2023 5:25;34,6;33,5;38,0
2/12/2023 5:27;34,5;33,4;37,9
2/12/2023 5:28;34,6;33,3;37,8
2/12/2023 5:30;34,6;33,0;37,5
2/12/2023 5:31;34,6;32,8;37,2
2/12/2023 5:33;34,6;32,6;37,2
2/12/2023 5:34;34,6;32,8;37,4
2/12/2023 5:36;34,5;33,0;37,6
2/12/2023 5:37;34,4;33,2;37,7
2/12/2023 5:39;34,4;33,1;37,6
2/12/2023 5:40;34,4;32,9;37,5
2/12/2023 5:42;34,3;32,8;37,2
2/12/2023 5:43;34,5;32,4;37,0
2/12/2023 5:45;34,4;32,4;37,0
2/12/2023 5:46;34,4;32,5;37,1
2/12/2023 5:48;34,2;32,9;37,7
2/12/2023 5:49;34,2;33,8;38,5
2/12/2023 5:51;34,3;34,7;39,2
2/12/2023 5:52;34,4;34,7;39,1
2/12/2023 5:54;34,4;34,2;38,5
2/12/2023 5:55;34,6;33,8;38,4
2/12/2023 5:57;34,7;34,1;38,7
2/12/2023 5:58;34,6;34,3;38,9
2/12/2023 6:00;34,7;34,4;38,8
2/12/2023 6:01;34,8;34,3;38,9
2/12/2023 6:03;34,8;34,7;39,1
2/12/2023 6:04;35,0;34,7;39,1
2/12/2023 6:06;34,9;34,5;39,0
2/12/2023 6:07;34,9;34,5;39,1
2/12/2023 6:09;34,9;34,6;39,0
2/12/2023 6:10;35,0;34,5;38,9
2/12/2023 6:12;35,2;34,4;38,9
2/12/2023 6:13;35,3;34,2;38,7
2/12/2023 6:15;35,1;33,8;38,5
2/12/2023 6:16;35,2;34,0;38,5
2/12/2023 6:18;35,1;34,0;38,5
2/12/2023 6:19;35,2;33,9;38,4
2/12/2023 6:21;35,2;33,8;38,5
2/12/2023 6:22;35,1;34,0;38,5
2/12/2023 6:24;35,0;34,0;38,4
2/12/2023 6:25;35,1;33,7;38,2
2/12/2023 6:27;35,1;33,6;38,1
2/12/2023 6:28;35,2;33,5;38,0
2/12/2023 6:30;35,0;33,4;37,9
2/12/2023 6:31;35,1;33,4;37,9
2/12/2023 6:33;34,9;33,5;38,1
2/12/2023 6:34;34,9;34,1;38,8
2/12/2023 6:36;35,0;35,0;39,6
2/12/2023 6:37;35,0;35,4;39,8
2/12/2023 6:39;35,1;35,5;39,9
2/12/2023 6:40;35,1;35,5;40,1
2/12/2023 6:42;35,3;35,7;40,3
2/12/2023 6:43;35,3;35,9;40,4
2/12/2023 6:45;35,4;35,8;40,3
2/12/2023 6:46;35,6;35,8;40,4
2/12/2023 6:48;35,6;35,9;40,5
2/12/2023 6:49;35,8;35,9;40,5
2/12/2023 6:51;35,8;36,1;40,8
2/12/2023 6:52;35,8;36,4;40,9
2/12/2023 6:54;36,0;36,0;40,7
2/12/2023 6:55;36,0;36,0;40,6
2/12/2023 6:57;36,1;35,7;40,3
2/12/2023 6:58;36,1;35,4;40,1
2/12/2023 7:00;36,1;35,4;40,0
2/12/2023 7:01;36,1;35,4;40,0
2/12/2023 7:03;36,1;35,1;39,6
2/12/2023 7:04;36,1;34,4;39,1
2/12/2023 7:06;36,2;34,2;38,8
2/12/2023 7:07;36,0;33,8;38,5
2/12/2023 7:09;36,0;34,1;38,3
2/12/2023 7:10;36,0;33,7;38,4
2/12/2023 7:12;35,7;33,9;38,5
2/12/2023 7:13;35,7;34,2;39,0
2/12/2023 7:15;35,6;34,7;39,4
2/12/2023 7:16;35,5;35,0;39,5
2/12/2023 7:18;35,5;34,9;39,3
2/12/2023 7:19;35,8;34,6;39,3
2/12/2023 7:21;35,5;34,8;39,3
2/12/2023 7:22;35,6;34,9;39,4
2/12/2023 7:24;35,6;34,7;39,1
2/12/2023 7:25;35,7;34,0;38,6
2/12/2023 7:27;35,7;33,6;38,2
2/12/2023 7:28;35,7;33,6;38,2
2/12/2023 7:30;35,5;33,5;38,1
2/12/2023 7:31;35,6;33,3;38,1
2/12/2023 7:33;35,6;33,7;38,4
2/12/2023 7:34;35,4;34,4;39,1
2/12/2023 7:36;35,4;34,9;39,5
2/12/2023 7:37;35,4;35,2;39,8
2/12/2023 7:39;35,4;35,1;39,8
2/12/2023 7:40;35,6;35,3;39,7
2/12/2023 7:42;35,5;35,1;39,6
2/12/2023 7:43;35,6;34,8;39,4
2/12/2023 7:45;35,5;34,7;39,4
2/12/2023 7:46;35,6;35,1;39,9
2/12/2023 7:48;35,7;35,6;40,3
2/12/2023 7:49;35,7;36,2;40,8
2/12/2023 7:51;35,7;36,3;40,9
2/12/2023 7:52;35,8;36,4;40,9
2/12/2023 7:54;35,9;36,3;40,9
2/12/2023 7:55;36,0;36,1;40,5
2/12/2023 7:57;36,2;35,5;40,0
2/12/2023 7:58;36,2;35,1;39,7
2/12/2023 8:00;36,2;35,0;39,5
2/12/2023 8:01;36,1;34,8;39,4
2/12/2023 8:03;36,1;34,8;39,2
2/12/2023 8:04;36,2;34,4;38,9
2/12/2023 8:06;36,0;34,2;38,8
2/12/2023 8:07;36,0;34,3;38,9
2/12/2023 8:09;36,1;34,4;39,0
2/12/2023 8:10;36,1;34,6;38,9
2/12/2023 8:12;36,1;34,3;38,7
2/12/2023 8:13;35,9;34,0;38,5
2/12/2023 8:15;35,8;34,0;38,6
2/12/2023 8:16;35,7;34,3;38,9
2/12/2023 8:18;35,8;34,6;39,2
2/12/2023 8:19;35,7;35,0;39,5
2/12/2023 8:21;35,8;35,3;39,8
2/12/2023 8:22;35,7;35,6;40,2
2/12/2023 8:24;35,7;36,0;40,4
2/12/2023 8:25;35,8;36,2;40,7
2/12/2023 8:27;35,8;36,1;40,7
2/12/2023 8:28;35,9;36,1;40,5
2/12/2023 8:30;36,0;35,8;40,2
2/12/2023 8:31;36,0;35,6;40,1
2/12/2023 8:33;36,0;35,6;40,3
2/12/2023 8:34;36,2;35,9;40,6
2/12/2023 8:36;36,2;36,4;40,9
2/12/2023 8:37;36,2;36,6;41,2
2/12/2023 8:39;36,2;36,9;41,4
2/12/2023 8:40;36,3;37,1;41,6
2/12/2023 8:42;36,5;37,1;41,7
2/12/2023 8:43;36,7;37,3;41,6
2/12/2023 8:45;36,6;36,9;41,3
2/12/2023 8:46;36,7;36,4;40,9
2/12/2023 8:48;36,7;36,2;40,7
2/12/2023 8:49;37,0;36,4;40,6
2/12/2023 8:51;36,9;36,1;40,4
2/12/2023 8:52;36,9;35,6;40,2
2/12/2023 8:54;36,9;35,5;40,0
2/12/2023 8:55;36,7;35,5;40,1
2/12/2023 8:57;36,8;35,6;40,0
2/12/2023 8:58;36,9;35,7;39,9
2/12/2023 9:00;36,7;35,3;39,8
2/12/2023 9:01;36,7;35,1;39,6
2/12/2023 9:03;36,6;35,1;39,8
2/12/2023 9:04;36,6;35,6;40,3
2/12/2023 9:06;36,4;36,2;40,9
2/12/2023 9:07;36,6;37,0;41,6
2/12/2023 9:09;36,5;37,4;42,0
2/12/2023 9:10;36,6;37,5;42,0
2/12/2023 9:12;36,8;37,5;42,0
2/12/2023 9:13;36,8;37,5;41,9
2/12/2023 9:15;36,8;37,1;41,5
2/12/2023 9:16;36,9;36,7;41,3
2/12/2023 9:18;36,9;36,9;41,5
2/12/2023 9:19;37,1;37,1;41,7
2/12/2023 9:21;37,0;37,4;42,0
2/12/2023 9:22;37,2;37,6;42,1
2/12/2023 9:24;37,3;37,6;42,4
2/12/2023 9:25;37,3;38,1;42,7
2/12/2023 9:27;37,3;38,3;42,8
2/12/2023 9:28;37,6;38,4;42,9
2/12/2023 9:30;37,6;38,4;43,1
2/12/2023 9:31;37,7;38,7;43,3
2/12/2023 9:33;37,7;38,6;43,0
2/12/2023 9:34;38,0;38,0;42,5
2/12/2023 9:36;37,9;37,5;42,0
2/12/2023 9:37;38,1;37,1;41,5
2/12/2023 9:39;38,1;36,7;41,1
2/12/2023 9:40;38,0;36,2;40,8
2/12/2023 9:42;37,8;36,0;40,7
2/12/2023 9:43;37,8;36,2;40,8
2/12/2023 9:45;37,8;36,4;41,1
2/12/2023 9:46;37,8;36,8;41,3
2/12/2023 9:48;37,5;37,0;41,6
2/12/2023 9:49;37,6;37,4;42,1
2/12/2023 9:51;37,6;38,1;42,5
2/12/2023 9:52;37,6;38,0;42,2
2/12/2023 9:54;37,7;37,0;41,5
2/12/2023 9:55;37,6;36,3;40,8
2/12/2023 9:57;37,5;36,0;40,7
2/12/2023 9:58;37,7;36,4;41,0
2/12/2023 10:00;37,5;36,8;41,4
2/12/2023 10:01;37,5;37,3;42,0
2/12/2023 10:03;37,4;38,0;42,7
2/12/2023 10:04;37,4;38,8;43,3
2/12/2023 10:06;37,5;39,1;43,6
2/12/2023 10:07;37,5;39,1;43,6
2/12/2023 10:09;37,7;38,9;43,4
2/12/2023 10:10;37,8;38,6;43,2
2/12/2023 10:12;38,1;38,5;43,1
2/12/2023 10:13;37,9;38,4;43,0
2/12/2023 10:15;38,2;38,5;43,1
2/12/2023 10:16;38,1;38,6;43,2
2/12/2023 10:18;38,2;38,6;43,3
2/12/2023 10:19;38,3;38,7;43,4
2/12/2023 10:21;38,4;38,9;43,5
2/12/2023 10:22;38,5;39,0;43,5
2/12/2023 10:24;38,4;38,8;43,3
2/12/2023 10:25;38,5;38,6;43,2
2/12/2023 10:27;38,5;38,3;42,9
2/12/2023 10:28;38,5;38,2;42,5
2/12/2023 10:30;38,6;37,6;42,1
2/12/2023 10:31;38,4;37,1;41,7
2/12/2023 10:33;38,3;36,9;41,6
2/12/2023 10:34;38,4;37,1;41,8
2/12/2023 10:36;38,3;37,3;41,9
2/12/2023 10:37;38,2;37,7;42,2
2/12/2023 10:39;38,1;38,0;42,7
2/12/2023 10:40;38,2;38,6;43,2
2/12/2023 10:42;38,1;38,9;43,3
2/12/2023 10:43;38,0;38,6;42,9
2/12/2023 10:45;38,1;37,9;42,3
2/12/2023 10:46;38,1;37,7;42,4
2/12/2023 10:48;38,2;38,2;42,8
2/12/2023 10:49;38,2;38,6;43,1
2/12/2023 10:51;38,1;38,7;43,2
2/12/2023 10:52;38,1;38,7;43,4
2/12/2023 10:54;38,2;39,0;43,6
2/12/2023 10:55;38,3;39,2;43,9
2/12/2023 10:57;38,3;39,5;44,0
2/12/2023 10:58;38,5;39,5;44,0
2/12/2023 11:00;38,5;39,5;44,0
2/12/2023 11:01;38,6;39,6;44,2
2/12/2023 11:03;38,6;39,7;44,3
2/12/2023 11:04;38,7;39,7;44,1
2/12/2023 11:06;38,7;39,6;44,1
2/12/2023 11:07;38,8;39,3;43,8
2/12/2023 11:09;38,9;39,1;43,6
2/12/2023 11:10;39,0;38,9;43,5
2/12/2023 11:12;38,9;39,0;43,5
2/12/2023 11:13;38,9;38,8;43,5
2/12/2023 11:15;38,8;38,8;43,5
2/12/2023 11:16;38,9;38,8;43,5
2/12/2023 11:18;38,9;38,9;43,4
2/12/2023 11:19;38,9;38,7;43,2
2/12/2023 11:21;39,0;38,5;43,2
2/12/2023 11:22;38,8;38,4;43,1
2/12/2023 11:24;38,9;38,7;43,2
2/12/2023 11:25;38,9;38,6;-626,4
2/12/2023 11:27;38,8;38,2;42,7
2/12/2023 11:28;38,8;38,2;43,0
2/12/2023 11:30;38,8;38,8;43,3
2/12/2023 11:31;38,8;38,9;43,3
2/12/2023 11:33;38,9;38,7;43,4
2/12/2023 11:34;38,9;38,7;43,4
2/12/2023 11:36;38,8;39,0;43,5
2/12/2023 11:37;38,8;39,3;43,8
2/12/2023 11:39;38,8;39,3;43,8
2/12/2023 11:40;38,8;39,4;43,9
2/12/2023 11:42;38,9;39,6;44,1
2/12/2023 11:43;38,9;40,0;44,5
2/12/2023 11:45;39,0;40,5;44,9
2/12/2023 11:46;39,1;40,5;44,9
2/12/2023 11:48;38,9;40,4;45,0
2/12/2023 11:49;39,0;40,4;44,8
2/12/2023 11:51;39,1;40,1;44,6
2/12/2023 11:52;39,3;40,0;44,5
2/12/2023 11:54;39,3;39,9;44,4
2/12/2023 11:55;39,3;39,6;44,2
2/12/2023 11:57;39,3;39,6;44,1
2/12/2023 11:58;39,4;39,5;44,0
2/12/2023 12:00;39,3;39,3;44,0
2/12/2023 12:01;39,4;39,3;44,0
2/12/2023 12:03;39,2;39,3;43,9
2/12/2023 12:04;39,3;39,2;43,9
2/12/2023 12:06;39,3;39,3;44,0
2/12/2023 12:07;39,3;39,7;44,2
2/12/2023 12:09;39,3;39,8;44,3
2/12/2023 12:10;39,3;39,9;44,3
2/12/2023 12:12;39,3;39,7;44,2
2/12/2023 12:13;39,2;39,9;44,4
2/12/2023 12:15;39,2;40,1;44,6
2/12/2023 12:16;39,3;40,4;44,9
2/12/2023 12:18;39,4;40,8;45,2
2/12/2023 12:19;39,5;40,9;45,4
2/12/2023 12:21;39,4;41,1;45,5
2/12/2023 12:22;39,5;41,0;45,5
2/12/2023 12:24;39,6;41,0;45,5
2/12/2023 12:25;39,6;41,2;45,6
2/12/2023 12:27;39,7;41,2;45,7
2/12/2023 12:28;39,8;41,3;45,7
2/12/2023 12:30;40,0;41,3;45,7
2/12/2023 12:31;40,0;41,3;45,7
2/12/2023 12:33;40,0;41,3;45,8
2/12/2023 12:34;40,1;41,5;46,0
2/12/2023 12:36;40,2;41,7;46,1
2/12/2023 12:37;40,2;41,8;46,1
2/12/2023 12:39;40,2;41,5;45,8
2/12/2023 12:40;40,3;41,2;45,5
2/12/2023 12:42;40,4;40,9;45,3
2/12/2023 12:43;40,4;40,8;45,2
2/12/2023 12:45;40,5;40,7;45,1
2/12/2023 12:46;40,5;40,6;44,9
2/12/2023 12:48;40,4;40,3;44,7
2/12/2023 12:49;40,3;40,0;44,2
2/12/2023 12:51;40,4;39,5;43,8
2/12/2023 12:52;40,2;39,3;43,6
2/12/2023 12:54;40,2;38,9;43,3
2/12/2023 12:55;40,1;38,8;43,3
2/12/2023 12:57;40,0;38,8;43,3
2/12/2023 12:58;40,0;39,0;43,5
2/12/2023 13:00;39,7;39,1;43,3
2/12/2023 13:01;39,6;38,8;43,2
2/12/2023 13:03;39,6;38,6;42,9
2/12/2023 13:04;39,5;38,3;42,5
2/12/2023 13:06;39,3;37,9;42,3
2/12/2023 13:07;39,4;37,8;42,2
2/12/2023 13:09;39,3;37,7;42,2
2/12/2023 13:10;39,1;37,8;42,2
2/12/2023 13:12;38,8;37,7;-730,2
2/12/2023 13:13;39,0;37,5;41,8
2/12/2023 13:15;38,8;37,3;41,7
2/12/2023 13:16;38,7;37,2;41,6
2/12/2023 13:18;38,6;37,2;41,6
2/12/2023 13:19;38,5;37,0;41,4
2/12/2023 13:21;38,5;36,8;41,4
2/12/2023 13:22;38,4;37,0;41,6
2/12/2023 13:24;38,3;37,4;42,0
2/12/2023 13:25;38,3;38,1;42,8
2/12/2023 13:27;38,2;38,9;43,4
2/12/2023 13:28;38,2;39,3;43,7
2/12/2023 13:30;38,2;39,3;43,8
2/12/2023 13:31;38,2;39,3;43,7
2/12/2023 13:33;38,3;39,2;43,5
2/12/2023 13:34;38,3;38,7;43,1
2/12/2023 13:36;38,5;38,4;43,0
2/12/2023 13:37;38,5;38,6;43,1
2/12/2023 13:39;38,5;38,7;43,3
2/12/2023 13:40;38,5;38,8;43,4
2/12/2023 13:42;38,5;39,2;43,6
2/12/2023 13:43;38,6;39,5;44,0
2/12/2023 13:45;38,6;39,9;44,3
2/12/2023 13:46;38,6;40,1;44,5
2/12/2023 13:48;38,5;40,2;44,5
2/12/2023 13:49;38,7;40,2;44,6
2/12/2023 13:51;38,8;40,1;44,5
2/12/2023 13:52;38,9;40,1;44,4
2/12/2023 13:54;38,9;39,7;44,1
2/12/2023 13:55;39,0;39,3;43,8
2/12/2023 13:57;39,1;39,1;43,7
2/12/2023 13:58;39,0;39,2;43,6
2/12/2023 14:00;39,2;39,0;43,3
2/12/2023 14:01;39,2;38,5;42,9
2/12/2023 14:03;39,0;38,2;42,5
2/12/2023 14:04;39,2;38,0;42,3
2/12/2023 14:06;39,0;37,6;42,1
2/12/2023 14:07;38,8;37,3;42,0
2/12/2023 14:09;38,9;37,6;42,1
2/12/2023 14:10;38,8;37,9;42,4
2/12/2023 14:12;38,7;38,2;42,7
2/12/2023 14:13;38,6;38,5;43,0
2/12/2023 14:15;38,5;38,7;43,2
2/12/2023 14:16;38,5;38,8;43,1
2/12/2023 14:18;38,5;38,7;43,0
2/12/2023 14:19;38,4;38,2;42,4
2/12/2023 14:21;38,5;37,3;41,7
2/12/2023 14:22;38,6;36,9;41,3
2/12/2023 14:24;38,5;36,7;41,3
2/12/2023 14:25;38,4;36,9;41,5
2/12/2023 14:27;38,2;37,3;41,8
2/12/2023 14:28;38,2;37,5;42,0
2/12/2023 14:30;38,2;37,7;42,2
2/12/2023 14:31;38,1;37,8;42,4
2/12/2023 14:33;38,3;38,0;42,4
2/12/2023 14:34;38,0;37,9;42,3
2/12/2023 14:36;38,2;37,7;42,2
2/12/2023 14:37;38,2;37,9;42,3
2/12/2023 14:39;38,1;38,1;42,6
2/12/2023 14:40;38,3;38,4;42,9
2/12/2023 14:42;38,1;38,7;43,2
2/12/2023 14:43;38,2;38,9;43,1
2/12/2023 14:45;38,3;38,4;42,8
2/12/2023 14:46;38,4;38,3;42,8
2/12/2023 14:48;38,4;38,6;43,0
2/12/2023 14:49;38,4;38,7;43,2
2/12/2023 14:51;38,4;38,7;42,9
2/12/2023 14:52;38,4;38,0;42,3
2/12/2023 14:54;38,4;37,4;41,8
2/12/2023 14:55;38,4;37,1;41,6
2/12/2023 14:57;38,4;36,9;41,4
2/12/2023 14:58;38,2;36,9;41,3
2/12/2023 15:00;38,3;36,8;41,3
2/12/2023 15:01;38,1;36,8;41,2
2/12/2023 15:03;38,1;36,7;41,2
2/12/2023 15:04;38,1;36,6;41,1
2/12/2023 15:06;38,0;36,5;41,0
2/12/2023 15:07;38,1;36,4;40,8
2/12/2023 15:09;37,9;36,1;40,6
2/12/2023 15:10;37,9;36,1;40,7
2/12/2023 15:12;37,8;36,3;40,7
2/12/2023 15:13;37,7;36,2;40,5
2/12/2023 15:15;37,6;36,0;40,3
2/12/2023 15:16;37,5;35,7;40,1
2/12/2023 15:18;37,5;35,5;39,9
2/12/2023 15:19;37,5;35,3;39,6
2/12/2023 15:21;37,3;35,1;39,4
2/12/2023 15:22;37,2;34,8;39,2
2/12/2023 15:24;37,1;34,7;39,1
2/12/2023 15:25;36,9;34,6;39,0
2/12/2023 15:27;36,9;34,5;38,9
2/12/2023 15:28;36,7;34,3;38,8
2/12/2023 15:30;36,7;34,2;38,6
2/12/2023 15:31;36,6;34,2;38,5
2/12/2023 15:33;36,4;34,0;38,3
2/12/2023 15:34;36,4;33,9;38,2
2/12/2023 15:36;36,3;33,8;38,1
2/12/2023 15:37;36,1;33,5;37,9
2/12/2023 15:39;36,2;33,5;37,8
2/12/2023 15:40;36,0;33,3;37,6
2/12/2023 15:42;35,9;33,4;37,5
2/12/2023 15:43;35,9;33,1;37,4
2/12/2023 15:45;35,7;33,1;37,5
2/12/2023 15:46;35,4;33,1;37,3
2/12/2023 15:48;35,4;33,0;37,3
2/12/2023 15:49;35,3;32,8;37,1
2/12/2023 15:51;35,3;32,7;37,0
2/12/2023 15:52;35,2;32,6;36,9
2/12/2023 15:54;35,0;32,4;36,8
2/12/2023 15:55;35,2;32,3;36,6
2/12/2023 15:57;34,9;32,2;36,5
2/12/2023 15:58;34,8;32,1;36,4
2/12/2023 16:00;34,8;32,0;36,3
2/12/2023 16:01;34,6;32,0;36,3
2/12/2023 16:03;34,6;31,9;36,2
2/12/2023 16:04;34,7;31,8;36,1
2/12/2023 16:06;34,5;31,6;36,0
2/12/2023 16:07;34,4;31,5;35,9
2/12/2023 16:09;34,3;31,5;35,8
2/12/2023 16:10;34,2;31,4;35,7
2/12/2023 16:12;34,1;31,2;35,6
2/12/2023 16:13;34,0;31,3;35,8
2/12/2023 16:15;33,9;31,8;36,4
2/12/2023 16:16;33,9;32,6;36,8
2/12/2023 16:18;34,0;32,6;36,9
2/12/2023 16:19;34,0;32,6;37,0
2/12/2023 16:21;34,0;32,7;37,0
2/12/2023 16:22;34,0;32,6;37,1
2/12/2023 16:24;34,0;32,6;37,2
2/12/2023 16:25;33,8;32,6;37,2
2/12/2023 16:27;34,0;32,7;37,2
2/12/2023 16:28;34,1;32,9;37,3
2/12/2023 16:30;33,9;32,9;37,5
2/12/2023 16:31;34,0;33,3;37,8
2/12/2023 16:33;34,1;33,7;38,2
2/12/2023 16:34;34,0;34,0;38,5
2/12/2023 16:36;34,1;34,1;38,7
2/12/2023 16:37;34,2;34,3;38,8
2/12/2023 16:39;34,3;34,4;38,9
2/12/2023 16:40;34,5;34,5;38,8
2/12/2023 16:42;34,5;34,1;38,6
2/12/2023 16:43;34,6;34,0;38,4
2/12/2023 16:45;34,8;33,9;38,3
2/12/2023 16:46;34,8;33,8;38,2
2/12/2023 16:48;34,8;33,8;38,3
2/12/2023 16:49;34,8;34,0;38,4
2/12/2023 16:51;35,0;34,2;38,6
2/12/2023 16:52;34,9;34,4;38,8
2/12/2023 16:54;34,9;34,6;39,0
2/12/2023 16:55;34,9;34,8;39,0
2/12/2023 16:57;35,1;34,8;39,2
